phone_id,phone_number,person_id,source_id
PH-001,9000010000,1,FIR_001
PH-002,9000010001,2,FIR_002
PH-003,9000010002,3,FIR_003
PH-004,9000010003,4,FIR_004
PH-005,9000010004,5,FIR_005
PH-006,9000010005,6,FIR_006
PH-007,9000010006,7,FIR_007
PH-008,9000010007,8,FIR_008
PH-009,9000010008,9,FIR_001
PH-010,9000010009,10,FIR_002
PH-011,9000010010,11,FIR_003
PH-012,9000010011,12,FIR_004
PH-013,9000010012,13,FIR_005
PH-014,9000010013,14,FIR_006
PH-015,9000010014,15,FIR_007
PH-016,9000010015,16,FIR_008
PH-017,9000010016,17,FIR_001
PH-018,9000010017,18,FIR_002
PH-019,9000010018,19,FIR_003
PH-020,9000010019,20,FIR_004
