cdr_id,timestamp,caller_phone,receiver_phone,duration_minutes,location,source_id
CDR_001,2026-08-01 10:15,9000010000,9000010001,3,Bhopal,CDR_SOURCE_01
CDR_002,2026-08-02 10:15,9000010001,9000010002,4,Bhopal,CDR_SOURCE_02
CDR_003,2026-08-03 10:15,9000010003,9000010000,5,Bhopal,CDR_SOURCE_03
CDR_004,2026-08-04 10:15,9000010003,9000010004,2,Bhopal,CDR_SOURCE_04
CDR_005,2026-08-05 10:15,9000010004,9000010005,3,Bhopal,CDR_SOURCE_05
CDR_006,2026-08-06 10:15,9000010005,9000010006,4,Bhopal,CDR_SOURCE_06
CDR_007,2026-08-07 10:15,9000010006,9000010007,2,Bhopal,CDR_SOURCE_07
CDR_008,2026-08-08 10:15,9000010007,9000010008,6,Bhopal,CDR_SOURCE_08
CDR_009,2026-08-09 10:15,9000010008,9000010011,4,Bhopal,CDR_SOURCE_09
CDR_010,2026-08-10 10:15,9000010011,9000010009,3,Bhopal,CDR_SOURCE_10
CDR_011,2026-08-11 10:15,9000010009,9000010010,5,Bhopal,CDR_SOURCE_11
CDR_012,2026-08-12 10:15,9000010010,9000010012,2,Bhopal,CDR_SOURCE_12
CDR_013,2026-08-13 10:15,9000010012,9000010013,4,Bhopal,CDR_SOURCE_13
CDR_014,2026-08-14 10:15,9000010013,9000010014,3,Bhopal,CDR_SOURCE_14
CDR_015,2026-08-15 10:15,9000010014,9000010016,5,Bhopal,CDR_SOURCE_15
CDR_016,2026-08-16 10:15,9000010016,9000010017,4,Bhopal,CDR_SOURCE_16
CDR_017,2026-08-17 10:15,9000010017,9000010018,3,Bhopal,CDR_SOURCE_17
CDR_018,2026-08-18 10:15,9000010018,9000010019,2,Bhopal,CDR_SOURCE_18
CDR_019,2026-08-19 10:15,9000010019,9000010015,4,Bhopal,CDR_SOURCE_19
CDR_020,2026-08-20 10:15,9000010015,9000010005,3,Bhopal,CDR_SOURCE_20
CDR_021,2026-08-09 09:05,9000010000,9000010001,2,Bhopal Central,CDR_SPIKE_01
CDR_022,2026-08-09 09:12,9000010000,9000010002,3,Bhopal Central,CDR_SPIKE_01
CDR_023,2026-08-09 09:19,9000010000,9000010003,4,Bhopal Central,CDR_SPIKE_01
CDR_024,2026-08-09 09:26,9000010000,9000010004,5,Bhopal Central,CDR_SPIKE_01
CDR_025,2026-08-09 09:33,9000010000,9000010001,6,Bhopal Central,CDR_SPIKE_01
CDR_026,2026-08-09 09:40,9000010000,9000010003,2,Bhopal Central,CDR_SPIKE_01
CDR_027,2026-08-09 10:47,9000010000,9000010001,3,Bhopal Central,CDR_SPIKE_01
CDR_028,2026-08-09 10:54,9000010000,9000010002,4,Bhopal Central,CDR_SPIKE_01
CDR_029,2026-08-09 10:11,9000010000,9000010003,5,Bhopal Central,CDR_SPIKE_01
CDR_030,2026-08-09 10:18,9000010000,9000010004,6,Bhopal Central,CDR_SPIKE_01
CDR_031,2026-08-09 10:25,9000010000,9000010001,2,Bhopal Central,CDR_SPIKE_01
CDR_032,2026-08-09 10:32,9000010000,9000010003,3,Bhopal Central,CDR_SPIKE_01
CDR_033,2026-08-09 11:39,9000010000,9000010001,4,Bhopal Central,CDR_SPIKE_01
CDR_034,2026-08-09 11:46,9000010000,9000010002,5,Bhopal Central,CDR_SPIKE_01
CDR_035,2026-08-09 11:53,9000010000,9000010003,6,Bhopal Central,CDR_SPIKE_01
CDR_036,2026-08-09 11:10,9000010000,9000010004,2,Bhopal Central,CDR_SPIKE_01
CDR_037,2026-08-09 11:17,9000010000,9000010001,3,Bhopal Central,CDR_SPIKE_01
CDR_038,2026-08-09 11:24,9000010000,9000010003,4,Bhopal Central,CDR_SPIKE_01
CDR_039,2026-08-12 18:30,9000010001,9000010003,6,Habibganj,CDR_GENERAL_02
CDR_040,2026-08-12 18:30,9000010002,9000010000,4,New Market,CDR_GENERAL_02
CDR_041,2026-08-12 18:30,9000010003,9000010001,7,Sehore Road,CDR_GENERAL_02
CDR_042,2026-08-12 18:30,9000010004,9000010007,3,Old Bhopal,CDR_GENERAL_02
CDR_043,2026-08-12 18:30,9000010007,9000010008,5,Old Bhopal,CDR_GENERAL_02
CDR_044,2026-08-12 18:30,9000010011,9000010000,4,Kolar Road,CDR_GENERAL_02
CDR_045,2026-08-12 18:30,9000010014,9000010001,3,MP Nagar,CDR_GENERAL_02
CDR_046,2026-08-12 18:30,9000010016,9000010017,6,Bairagarh,CDR_GENERAL_02
CDR_047,2026-08-12 18:30,9000010017,9000010019,2,Bairagarh,CDR_GENERAL_02
CDR_048,2026-08-12 18:30,9000010019,9000010015,4,Kolar Road,CDR_GENERAL_02
CDR_049,2026-08-12 18:30,9000010015,9000010005,5,Kolar Road,CDR_GENERAL_02
CDR_050,2026-08-12 18:30,9000010009,9000010011,3,Misrod,CDR_GENERAL_02
